RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES,CREATED_TIMESTAMP,COE_NAMES,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,ON_TIME
Won't Fix,Common Services,,35:50.0,,06:07.0,CS - Common Services,21:21.0,Common Services,,,96,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
,Notifications,,33:23.8,,,CS - Common Services,29:15.5,Common Services,,,,FALSE
Done,Issues,P3,06:58.0,iOS,51:16.0,CS - Common Services,27:29.0,Common Services,,360,48,TRUE
Done,Issues,P3,06:58.0,iOS,51:16.0,CS - Common Services,27:29.0,Common Services,,360,48,TRUE
Done,,P2,18:31.0,,10:53.0,CS - Common Services,22:16.0,Common Services,,72,720,FALSE
Done,,P2,18:31.0,,10:53.0,CS - Common Services,22:16.0,Common Services,,72,720,FALSE
Done,,P2,18:31.0,,10:53.0,CS - Common Services,22:16.0,Common Services,,72,720,FALSE
Done,,P2,18:31.0,,10:53.0,CS - Common Services,22:16.0,Common Services,,72,720,FALSE
Done,,P2,18:31.0,,10:53.0,CS - Common Services,22:16.0,Common Services,,72,720,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,48:12.0,CS - Common Services,47:41.0,Common Services,,,0,FALSE
