ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
CS-41756,Won't Fix,,P2,Mar-21,Web,Oct-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,72,144,FALSE
ALEX-37736,Duplicate,,P3,Mar-21,,Oct-20,CR - Docs Core,Jul-20,Construction Records,,360,2088,FALSE
ALEX-38502,Fixed,BIM 360 Docs,P4,Mar-21,Web,Oct-20,CR - Docs Core,Sep-20,Construction Records,,,648,FALSE
NGF-619,Cannot Reproduce,NGF Talentica,P3,Mar-21,iOS,Oct-20,FC - Field Forms,May-20,Field Collaboration,,360,3696,FALSE
ALEX-38503,Fixed,,P4,Mar-21,Web,Oct-20,CR - Docs Core,Sep-20,Construction Records,,,672,FALSE
SVN-2376,Fixed,,P3,Mar-21,Backend,Oct-20,FC - Field Progress,Sep-20,Field Collaboration,,360,144,TRUE
PT-478,Deferred,Progress Tracking,,Mar-21,,Oct-20,FC - Field Progress,Aug-20,Field Collaboration,,,1824,FALSE
ACSD-3794,Done,Sheet Management,,Mar-21,Web,Oct-20,CR - Docs Core,Jul-20,Construction Records,,,1848,FALSE
PGVIEW-1364,Won't Do,,P3,Mar-21,iOS,Oct-20,CR - Docs Core,Dec-19,Construction Records,,360,7632,FALSE
SVN-2410,Duplicate,,P4,Mar-21,Web,Oct-20,FC - Field Progress,Sep-20,Field Collaboration,,,192,FALSE
SCCOM-5866,Fixed,APIs,,Mar-21,Web,Oct-20,CS - Common Services,Jul-20,Common Services,,,1992,FALSE
